latitude,longitude,frp
-12.36113,134.89703,8.7
-12.36203,134.89183,10.5
-12.36835,134.85545,7
-12.44456,134.41371,24.3
-12.4454,134.40883,13.5
-12.43986,134.41794,24.3
-12.44071,134.41304,24.3
-12.44154,134.40816,13.5
-12.44238,134.40334,13.5
-12.43769,134.40752,15
-12.43216,134.41661,17.6
-12.43383,134.40686,15
-12.43467,134.40202,15
-12.42914,134.41106,7.5
-12.42998,134.40622,34.7
-12.43082,134.40137,34.7
-12.51873,133.88802,5.7
-12.47706,134.10947,3.5
-12.515,133.88734,5.7
-12.51579,133.88272,5.7
-12.3253,134.96121,9.8
-12.47247,134.11354,6.2
-12.47328,134.10881,5.2
-12.50811,133.90515,6
-12.51443,133.86816,28.3
-12.51523,133.86345,28.3
-12.51071,133.86748,28.3
-12.51152,133.86273,28.3
-12.43061,134.4184,7.9
-12.43142,134.4135,7.9
-12.43223,134.40862,20.1
-12.51847,133.88466,7.6
-12.43303,134.40376,20.1
-12.42837,134.40796,20.1
-12.42918,134.40311,20.1
-12.4774,134.11122,4.3
-12.51096,133.90706,4.6
-12.51475,133.88394,7.6
-12.51551,133.87933,3
-12.47284,134.11528,5.6
-12.47362,134.11058,8.9
-12.51329,133.8694,36.8
-12.51407,133.86464,36.8
-12.51035,133.86395,36.8
-12.51111,133.8593,13.4
-12.50738,133.85869,58.8
-12.50662,133.86331,14
-12.50288,133.86272,14
-12.50211,133.86742,14
-12.7961,132.04655,11.8
-12.50364,133.85811,58.8
-12.49836,133.86688,8.3
-12.49989,133.85759,9.9
-12.79387,132.03842,28
-12.79448,132.03462,28
-12.79508,132.03081,81.6
-12.49912,133.86221,8.3
-12.50065,133.85298,9.9
-12.79267,132.04601,10.4
-12.79045,132.03784,28
-12.79165,132.03024,81.6
-12.79225,132.02644,81.6
-12.49538,133.86171,8.3
-12.78924,132.04544,10.4
-12.78984,132.04164,10.4
-12.79105,132.03404,28
-12.49318,133.85178,8
-12.49396,133.84706,42.4
-12.78822,132.02968,234.4
-12.78882,132.02588,234.4
-12.49241,133.85641,8
-12.78641,132.04108,8.4
